# !SESSION 2025-10-20 12:08:50.177
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| ForkJoinPool.commonPool-worker-7 | 2025-10-21 15:10:33.950 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.debugger.dsf INFO [categoryId=, createdByMacro=false, descriptor=] created on breakpoint CLineBreakpoint on [marker=Marker [on: /RA6T2_MCIHV1_IPM_LESS_FOC_WHOLE_PFC_E2S_V100/src/application/motor_module/sensorless_vector/r_motor_sensorless_vector_api.c, id: 5061, type: org.eclipse.cdt.debug.core.cLineBreakpointMarker, attributes: [lineNumber: 467, message: Line breakpoint: r_motor_sensorless_vector_api.c [line: 460] [type: Hardware], org.eclipse.cdt.debug.core.breakpointType: 2, org.eclipse.cdt.debug.core.condition: , org.eclipse.cdt.debug.core.ignoreCount: 0, org.eclipse.cdt.debug.core.installCount: 0, org.eclipse.cdt.debug.core.sourceHandle: C:\Users\a5143778\Documents\MC_Greece\MC_Greece\RA6T2_MCIHV1_IPM_LESS_FOC_WHOLE_PFC_E2S_V100\src\application\motor_module\sensorless_vector\r_motor_sensorless_vector_api.c, org.eclipse.debug.core.enabled: true, org.eclipse.debug.core.id: org.eclipse.cdt.debug.core, requestedLine: 460, requestedSourceHandle: C:\Users\a5143778\Documents\MC_Greece\MC_Greece\RA6T2_MCIHV1_IPM_LESS_FOC_WHOLE_PFC_E2S_V100\src\application\motor_module\sensorless_vector\r_motor_sensorless_vector_api.c], created: 9/30/25, 1:03 PM]] |
| JavaFX Application Thread | 2025-10-21 15:31:10.794 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.debugger.dsf INFO [categoryId=, createdByMacro=false, descriptor=] created on breakpoint CLineBreakpoint on [marker=Marker [on: /RA6T2_MCIHV1_IPM_LESS_FOC_WHOLE_PFC_E2S_V100/src/application/motor_module/sensorless_vector/r_motor_sensorless_vector_api.c, id: 6675, type: org.eclipse.cdt.debug.core.cLineBreakpointMarker, attributes: [lineNumber: 536, message: Line breakpoint: r_motor_sensorless_vector_api.c [line: 536] [type: Hardware], org.eclipse.cdt.debug.core.breakpointType: 2, org.eclipse.cdt.debug.core.condition: , org.eclipse.cdt.debug.core.ignoreCount: 0, org.eclipse.cdt.debug.core.sourceHandle: C:\Users\a5143778\Documents\MC_Greece\MC_Greece\RA6T2_MCIHV1_IPM_LESS_FOC_WHOLE_PFC_E2S_V100\src\application\motor_module\sensorless_vector\r_motor_sensorless_vector_api.c, org.eclipse.debug.core.enabled: true, org.eclipse.debug.core.id: org.eclipse.cdt.debug.core, requestedLine: 536, requestedSourceHandle: C:\Users\a5143778\Documents\MC_Greece\MC_Greece\RA6T2_MCIHV1_IPM_LESS_FOC_WHOLE_PFC_E2S_V100\src\application\motor_module\sensorless_vector\r_motor_sensorless_vector_api.c], created: 10/21/25, 3:31 PM]] |
| JavaFX Application Thread | 2025-10-21 15:31:13.363 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.debugger.dsf INFO [categoryId=, createdByMacro=false, descriptor=] created on breakpoint CLineBreakpoint on [marker=Marker [on: /RA6T2_MCIHV1_IPM_LESS_FOC_WHOLE_PFC_E2S_V100/src/application/motor_module/sensorless_vector/r_motor_sensorless_vector_api.c, id: 6676, type: org.eclipse.cdt.debug.core.cLineBreakpointMarker, attributes: [lineNumber: 523, message: Line breakpoint: r_motor_sensorless_vector_api.c [line: 523] [type: Hardware], org.eclipse.cdt.debug.core.breakpointType: 2, org.eclipse.cdt.debug.core.condition: , org.eclipse.cdt.debug.core.ignoreCount: 0, org.eclipse.cdt.debug.core.sourceHandle: C:\Users\a5143778\Documents\MC_Greece\MC_Greece\RA6T2_MCIHV1_IPM_LESS_FOC_WHOLE_PFC_E2S_V100\src\application\motor_module\sensorless_vector\r_motor_sensorless_vector_api.c, org.eclipse.debug.core.enabled: true, org.eclipse.debug.core.id: org.eclipse.cdt.debug.core, requestedLine: 523, requestedSourceHandle: C:\Users\a5143778\Documents\MC_Greece\MC_Greece\RA6T2_MCIHV1_IPM_LESS_FOC_WHOLE_PFC_E2S_V100\src\application\motor_module\sensorless_vector\r_motor_sensorless_vector_api.c], created: 10/21/25, 3:31 PM]] |
# !SESSION 2025-10-21 15:52:07.740
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| main | 2025-10-21 15:52:07.740 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.debugger.timeline.service INFO Timeline data source providers found: [com.iar.ide.debugger.timeline.service.TimelineServiceDataSourceProvider@23ec291e] |
| Worker-7: Setup scanner extension configuration | 2025-10-21 15:52:18.535 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common INFO Path to EW stage not found for provider iar.sdkprovider.arm.v8. Requesting a settings dialog to be displayed... |
| Worker-7: Setup scanner extension configuration | 2025-10-21 15:52:23.840 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR Path to EW has not been specified for provider iar.sdkprovider.arm.v8. The C-SPY plugins will not function properly. |
| Worker-7: Setup scanner extension configuration | 2025-10-21 15:52:23.846 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.project.utils ERROR SDK location does not exist: \arm |
| Worker-7: Setup scanner extension configuration | 2025-10-21 15:52:23.863 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR Failed to create provider for (arm, 9.0.0). Will now try to revert to build-only support. |
| Worker-7: Setup scanner extension configuration | 2025-10-21 15:52:23.880 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common INFO Path to EW stage not found for provider iar.sdkprovider.arm.v8. Requesting a settings dialog to be displayed... |
| Worker-7: Setup scanner extension configuration | 2025-10-21 15:52:26.313 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR Path to EW has not been specified for provider iar.sdkprovider.arm.v8. The C-SPY plugins will not function properly. |
| Worker-7: Setup scanner extension configuration | 2025-10-21 15:52:26.319 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.project.utils ERROR SDK location does not exist: \arm |
| Worker-7: Setup scanner extension configuration | 2025-10-21 15:52:26.326 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR Failed to create build-only provider for debugger target (arm, 9.0.0). The SDK is now disabled. |
| Worker-0: Setup scanner extension configuration | 2025-10-21 15:52:26.352 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.cdt.arm.v7.toolchain INFO Enabling Cortex-*F workaround (ECL-1993) for EWARM 7.40.3 |
| Worker-1: Setup scanner extension configuration | 2025-10-21 15:52:26.362 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR The provider for (arm, 9.0.0) failed to initialize and cannot be used. |
| Worker-8: Setup scanner extension configuration | 2025-10-21 15:52:26.369 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR The provider for (arm, 9.0.0) failed to initialize and cannot be used. |
| Worker-6: Setup scanner extension configuration | 2025-10-21 15:52:26.374 | com.iar.ide.common | /debug | com.iar.ide.common.PlatformLoggerDelegate | traceFile | 74 | com.iar.ide.common ERROR The provider for (arm, 9.0.0) failed to initialize and cannot be used. |
